x,y,file1,line1,file2,line2
0,0,unknown file,unknown line,unknown file,unknown line
0,38,unknown file,unknown line,unknown file,unknown line
0,76,unknown file,unknown line,unknown file,unknown line
0,114,unknown file,unknown line,unknown file,unknown line
1,1,unknown file,unknown line,unknown file,unknown line
2,2,unknown file,unknown line,unknown file,unknown line
2,40,unknown file,unknown line,unknown file,unknown line
2,78,unknown file,unknown line,unknown file,unknown line
2,116,unknown file,unknown line,unknown file,unknown line
3,3,unknown file,unknown line,unknown file,unknown line
3,41,unknown file,unknown line,unknown file,unknown line
3,79,unknown file,unknown line,unknown file,unknown line
3,117,unknown file,unknown line,unknown file,unknown line
4,4,unknown file,unknown line,unknown file,unknown line
4,42,unknown file,unknown line,unknown file,unknown line
4,80,unknown file,unknown line,unknown file,unknown line
4,118,unknown file,unknown line,unknown file,unknown line
5,5,unknown file,unknown line,unknown file,unknown line
5,43,unknown file,unknown line,unknown file,unknown line
5,81,unknown file,unknown line,unknown file,unknown line
5,119,unknown file,unknown line,unknown file,unknown line
6,6,unknown file,unknown line,unknown file,unknown line
6,44,unknown file,unknown line,unknown file,unknown line
6,82,unknown file,unknown line,unknown file,unknown line
6,120,unknown file,unknown line,unknown file,unknown line
7,7,unknown file,unknown line,unknown file,unknown line
7,45,unknown file,unknown line,unknown file,unknown line
7,83,unknown file,unknown line,unknown file,unknown line
7,121,unknown file,unknown line,unknown file,unknown line
8,8,unknown file,unknown line,unknown file,unknown line
8,46,unknown file,unknown line,unknown file,unknown line
8,84,unknown file,unknown line,unknown file,unknown line
8,122,unknown file,unknown line,unknown file,unknown line
9,9,unknown file,unknown line,unknown file,unknown line
9,12,unknown file,unknown line,unknown file,unknown line
9,15,unknown file,unknown line,unknown file,unknown line
9,18,unknown file,unknown line,unknown file,unknown line
9,21,unknown file,unknown line,unknown file,unknown line
9,24,unknown file,unknown line,unknown file,unknown line
9,27,unknown file,unknown line,unknown file,unknown line
9,30,unknown file,unknown line,unknown file,unknown line
9,33,unknown file,unknown line,unknown file,unknown line
9,36,unknown file,unknown line,unknown file,unknown line
9,37,unknown file,unknown line,unknown file,unknown line
9,47,unknown file,unknown line,unknown file,unknown line
9,50,unknown file,unknown line,unknown file,unknown line
9,53,unknown file,unknown line,unknown file,unknown line
9,56,unknown file,unknown line,unknown file,unknown line
9,59,unknown file,unknown line,unknown file,unknown line
9,62,unknown file,unknown line,unknown file,unknown line
9,65,unknown file,unknown line,unknown file,unknown line
9,68,unknown file,unknown line,unknown file,unknown line
9,71,unknown file,unknown line,unknown file,unknown line
9,74,unknown file,unknown line,unknown file,unknown line
9,75,unknown file,unknown line,unknown file,unknown line
9,85,unknown file,unknown line,unknown file,unknown line
9,88,unknown file,unknown line,unknown file,unknown line
9,91,unknown file,unknown line,unknown file,unknown line
9,94,unknown file,unknown line,unknown file,unknown line
9,97,unknown file,unknown line,unknown file,unknown line
9,100,unknown file,unknown line,unknown file,unknown line
9,103,unknown file,unknown line,unknown file,unknown line
9,106,unknown file,unknown line,unknown file,unknown line
9,109,unknown file,unknown line,unknown file,unknown line
9,112,unknown file,unknown line,unknown file,unknown line
9,113,unknown file,unknown line,unknown file,unknown line
9,123,unknown file,unknown line,unknown file,unknown line
9,126,unknown file,unknown line,unknown file,unknown line
9,129,unknown file,unknown line,unknown file,unknown line
9,132,unknown file,unknown line,unknown file,unknown line
9,135,unknown file,unknown line,unknown file,unknown line
9,138,unknown file,unknown line,unknown file,unknown line
9,141,unknown file,unknown line,unknown file,unknown line
9,144,unknown file,unknown line,unknown file,unknown line
9,147,unknown file,unknown line,unknown file,unknown line
9,150,unknown file,unknown line,unknown file,unknown line
9,151,unknown file,unknown line,unknown file,unknown line
10,10,unknown file,unknown line,unknown file,unknown line
10,48,unknown file,unknown line,unknown file,unknown line
10,86,unknown file,unknown line,unknown file,unknown line
10,124,unknown file,unknown line,unknown file,unknown line
11,11,unknown file,unknown line,unknown file,unknown line
11,49,unknown file,unknown line,unknown file,unknown line
11,87,unknown file,unknown line,unknown file,unknown line
11,125,unknown file,unknown line,unknown file,unknown line
12,9,unknown file,unknown line,unknown file,unknown line
12,12,unknown file,unknown line,unknown file,unknown line
12,15,unknown file,unknown line,unknown file,unknown line
12,18,unknown file,unknown line,unknown file,unknown line
12,21,unknown file,unknown line,unknown file,unknown line
12,24,unknown file,unknown line,unknown file,unknown line
12,27,unknown file,unknown line,unknown file,unknown line
12,30,unknown file,unknown line,unknown file,unknown line
12,33,unknown file,unknown line,unknown file,unknown line
12,36,unknown file,unknown line,unknown file,unknown line
12,37,unknown file,unknown line,unknown file,unknown line
12,47,unknown file,unknown line,unknown file,unknown line
12,50,unknown file,unknown line,unknown file,unknown line
12,53,unknown file,unknown line,unknown file,unknown line
12,56,unknown file,unknown line,unknown file,unknown line
12,59,unknown file,unknown line,unknown file,unknown line
12,62,unknown file,unknown line,unknown file,unknown line
12,65,unknown file,unknown line,unknown file,unknown line
12,68,unknown file,unknown line,unknown file,unknown line
12,71,unknown file,unknown line,unknown file,unknown line
12,74,unknown file,unknown line,unknown file,unknown line
12,75,unknown file,unknown line,unknown file,unknown line
12,85,unknown file,unknown line,unknown file,unknown line
12,88,unknown file,unknown line,unknown file,unknown line
12,91,unknown file,unknown line,unknown file,unknown line
12,94,unknown file,unknown line,unknown file,unknown line
12,97,unknown file,unknown line,unknown file,unknown line
12,100,unknown file,unknown line,unknown file,unknown line
12,103,unknown file,unknown line,unknown file,unknown line
12,106,unknown file,unknown line,unknown file,unknown line
12,109,unknown file,unknown line,unknown file,unknown line
12,112,unknown file,unknown line,unknown file,unknown line
12,113,unknown file,unknown line,unknown file,unknown line
12,123,unknown file,unknown line,unknown file,unknown line
12,126,unknown file,unknown line,unknown file,unknown line
12,129,unknown file,unknown line,unknown file,unknown line
12,132,unknown file,unknown line,unknown file,unknown line
12,135,unknown file,unknown line,unknown file,unknown line
12,138,unknown file,unknown line,unknown file,unknown line
12,141,unknown file,unknown line,unknown file,unknown line
12,144,unknown file,unknown line,unknown file,unknown line
12,147,unknown file,unknown line,unknown file,unknown line
12,150,unknown file,unknown line,unknown file,unknown line
12,151,unknown file,unknown line,unknown file,unknown line
13,13,unknown file,unknown line,unknown file,unknown line
13,51,unknown file,unknown line,unknown file,unknown line
13,89,unknown file,unknown line,unknown file,unknown line
13,127,unknown file,unknown line,unknown file,unknown line
14,14,unknown file,unknown line,unknown file,unknown line
14,52,unknown file,unknown line,unknown file,unknown line
14,90,unknown file,unknown line,unknown file,unknown line
14,128,unknown file,unknown line,unknown file,unknown line
15,9,unknown file,unknown line,unknown file,unknown line
15,12,unknown file,unknown line,unknown file,unknown line
15,15,unknown file,unknown line,unknown file,unknown line
15,18,unknown file,unknown line,unknown file,unknown line
15,21,unknown file,unknown line,unknown file,unknown line
15,24,unknown file,unknown line,unknown file,unknown line
15,27,unknown file,unknown line,unknown file,unknown line
15,30,unknown file,unknown line,unknown file,unknown line
15,33,unknown file,unknown line,unknown file,unknown line
15,36,unknown file,unknown line,unknown file,unknown line
15,37,unknown file,unknown line,unknown file,unknown line
15,47,unknown file,unknown line,unknown file,unknown line
15,50,unknown file,unknown line,unknown file,unknown line
15,53,unknown file,unknown line,unknown file,unknown line
15,56,unknown file,unknown line,unknown file,unknown line
15,59,unknown file,unknown line,unknown file,unknown line
15,62,unknown file,unknown line,unknown file,unknown line
15,65,unknown file,unknown line,unknown file,unknown line
15,68,unknown file,unknown line,unknown file,unknown line
15,71,unknown file,unknown line,unknown file,unknown line
15,74,unknown file,unknown line,unknown file,unknown line
15,75,unknown file,unknown line,unknown file,unknown line
15,85,unknown file,unknown line,unknown file,unknown line
15,88,unknown file,unknown line,unknown file,unknown line
15,91,unknown file,unknown line,unknown file,unknown line
15,94,unknown file,unknown line,unknown file,unknown line
15,97,unknown file,unknown line,unknown file,unknown line
15,100,unknown file,unknown line,unknown file,unknown line
15,103,unknown file,unknown line,unknown file,unknown line
15,106,unknown file,unknown line,unknown file,unknown line
15,109,unknown file,unknown line,unknown file,unknown line
15,112,unknown file,unknown line,unknown file,unknown line
15,113,unknown file,unknown line,unknown file,unknown line
15,123,unknown file,unknown line,unknown file,unknown line
15,126,unknown file,unknown line,unknown file,unknown line
15,129,unknown file,unknown line,unknown file,unknown line
15,132,unknown file,unknown line,unknown file,unknown line
15,135,unknown file,unknown line,unknown file,unknown line
15,138,unknown file,unknown line,unknown file,unknown line
15,141,unknown file,unknown line,unknown file,unknown line
